Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2332,6.837434796,6.434418724,6.501268135,6.569066811,6.338632569,6.370568594,6.431923709,6.712051892,6.652175761,6.551061409,6.749249499,6.75055769
b2333,1.739980716,2.531148877,2.63793397,1.701987433,2.119551589,1.77378428,2.047677369,2.230788047,1.967928268,2.03931804,2.123208793,1.754481982
b2334,1.841726866,2.237186349,2.131585261,1.721193546,1.896184334,2.480340877,2.093899623,2.021254978,2.3397151,1.613980711,2.00023734,1.856647899
b2335,1.859060386,2.452282355,2.52125976,2.47553047,2.754007977,2.731059383,2.52750872,1.844872766,1.631024208,1.645353473,1.511350182,1.938173517
b2336,0.53361194,1.770777594,1.733555193,1.165502594,1.256422601,1.691909271,1.522631492,0.995216979,0.730724681,0.832465605,1.101821908,0.6484676
b4661,3.454992501,3.870060776,3.816452822,3.798304955,3.631282591,3.730513348,3.556776499,3.599246617,3.555806174,3.551896392,3.448443844,3.559272355
b2339,0.675838688,0.885632245,1.534729673,0.734547474,1.008303393,0.869741718,1.58528935,0.528160667,0.0,0.802844529,0.939771134,1.043166976
b2340,8.844549413,8.333775615,8.371898332,8.296318449,8.192372699,8.196036103,8.365118832,8.9717479,8.882239774,8.923985313,9.011826306,8.90803991
b2341,6.493799584,6.356535811,6.509634342,6.508238719,7.293332336,6.767416072,6.734945785,6.730622876,6.670442851,6.762790703,6.569836347,6.538545316
b2342,6.330835573,5.955110537,6.120285446,6.157876107,7.122929361,6.020681883,5.829698789,6.287068693,6.30661373,6.363825027,6.230111932,6.213539372
b2343,6.778567689,7.688614561,7.451897999,7.145411377,7.76947091,7.686389753,7.865890416,6.819969405,6.63583206,6.864366763,6.725019471,6.549406995
b2344,8.501363909,7.463752084,7.629048328,7.832895459,8.034624348,7.52159858,7.350402946,8.460122895,8.509116509,8.464161244,8.36646337,8.347202879
b2345,1.328598911,0.994998424,1.45700488,0.979882588,0.780983121,0.977730963,0.774287547,0.835781492,0.768396089,1.130649225,1.349694542,0.853630831
